year	arrest_number	arrest_charge_description	arrest_location	arrest_report_date	arresting_officer	arrestee_race	arrestee_gender	arrestee_residence_city	arrestee_age
2010	SS‐00417‐10	DRIVING WHILE INTOXICATED	WEIBEL AVE	2010-05-26	ROSE	WHITE	F	BALLSTON SPA	20
2010	SS‐00418‐10	HARASSMENT SECOND DEGREE ‐ PHYSICAL CONTACT	BROADWAY	2010-05-26	BARRETT	UNKNOWN	M	SARATOGA SPRINGS	29
2010	SS‐00417‐10	BAC MORE .08	WEIBEL AVE	2010-05-26	ROSE	WHITE	F	BALLSTON SPA	20
2010	SS‐00416‐10	FORCIBLE TOUCHING	BEEKMAN ST	2010-05-25	EMANATIAN	WHITE	M	SARATOGA SPRINGS	33
2010	XX‐00103‐10	ISSUING A BAD CHECK/UTTERS CHECK KNOWING NO FUNDS	CAROLINE ST	2010-05-25		WHITE	M	SARATOGA SPRING	48
2010	SS‐00415‐10	ROBBERY IN THE THIRD DEGREE	WEST AVE	2010-05-25		WHITE	M	SARATOGA SPRINGS	25
2010	SS‐00413‐10	PETIT LARCENY	WEIBEL AVENUE	2010-05-24		UNKNOWN	F	JOHNSONVILE	26
2010	SS‐00414‐10	DISORDERLY CONDUCT	GRAND AVE	2010-05-24	RIGANO	WHITE	M	SARATOGA SPRINGS	29
2010	SS‐00411‐10	DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-23	CAREY	UNKNOWN	M	QUEENSBURRY	24
2010	SS‐00411‐10	BAC MORE .08	PUTNAM ST	2010-05-23	CAREY	UNKNOWN	M	QUEENSBURRY	24
2010	SS‐00411‐10	AGGRAVATED DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-23	CAREY	UNKNOWN	M	QUEENSBURRY	24
2010	SS‐00412‐10	DISORDERLY CONDUCT	PUTNAM ST	2010-05-23	VEITCH	WHITE	M	COHOES	22
2010	SS‐00410‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	SOUTH BROADWAY	2010-05-23	COTTER	WHITE	M	SCHNECTADY	23
2010	SS‐00409‐10	CRIMINAL TRESPASS THIRD DEGREE/BUILDING OR PROP.	CAROLINE ST	2010-05-23	BARRETT	WHITE	M	BALLSTON SPA	24
2010	SS‐00411‐10	FAILED TO SIGNAL A TURN	PUTNAM ST AT SPRING ST	2010-05-23	CAREY	UNKNOWN	M	QUEENSBURRY	24
2010	SS‐00407‐10	DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00407‐10	AGGR UNLICENSED OPER 2ND/THREE OR MORE SUSPENSIONS	PUTNAM ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00407‐10	AGGRAVATED DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00408‐10	CRIMINAL TRESPASS THIRD DEGREE/BUILDING OR PROP.	UNION AVE	2010-05-22	VEITCH	INDIAN	M		22
2010	SS‐00407‐10	BAC MORE .08	PUTNAM ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00407‐10	FAILED TO SIGNAL A TURN	PUTNAM ST AT SPRING ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00407‐10	EQUIPMENT (HEADLIGHTS)	PUTNAM ST	2010-05-22	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00405‐10	CRIMINAL TRESPASS THIRD DEGREE//SCHOOL BUILDING	BLUE STREAKS WAY	2010-05-21	KELLY	BLACK/AFRICAN AMERICAN	F	SARATOGA SPRINGS	17
2010	SS‐00404‐10	BAC MORE .08	THOMAS TERR RD	2010-05-21	DAVIS	ASIAN	M	DALY CITY	21
2010	SS‐00404‐10	DRIVING WHILE INTOXICATED	THOMAS TERR RD.	2010-05-21	DAVIS	ASIAN	M	DALY CITY	21
2010	SS‐00406‐10	HARASSMENT SECOND DEGREE	CURT BLVD	2010-05-21	VEITCH	OTHER	M	SARATOGA SPRINGS	19
2010	SS‐00406‐10	CRIMINAL CONTEMPT SECOND DEGREE/DISOBEDIENCE	CURT BLVD	2010-05-21	VEITCH	OTHER	M	SARATOGA SPRINGS	19
2010	SS‐00404‐10	FAIL TO KEEP RIGHT	THOMAS TERR RD.	2010-05-21	DAVIS	ASIAN	M	DALY CITY	21
2010	SS‐00403‐10	BURGLARY SECOND DEGREE/BUILDING IS A DWELLING	OLD SCHOYLERVILLE	2010-05-18	MULLAN	WHITE	M	SARATOGA	30
2010	SS‐00403‐10	CRIMINAL CONTEMPT SECOND DEGREE/DISOBEDIENCE	OLD SCHUYLERVILLE RD	2010-05-18	MULLAN	WHITE	M	SARATOGA	30
2010	SS‐00403‐10	UNLAWFUL IMPRISONMENT IN THE SECOND DEGREE	OLD SCHUYLERVILLE	2010-05-18	MULLAN	WHITE	M	SARATOGA	30
2010	SS‐00403‐10	UNAUTHORIZED USE OF A VEHICLE THIRD/NO CONSENT	OLD SCHUYLERVILLE RD	2010-05-18	MULLAN	WHITE	M	SARATOGA	30
2010	SS‐00402‐10	AGGRAVATED HARASSMENT IN THE SECOND DEGREE	BROADWAY	2010-05-18	LANZARA	WHITE	F	SARATOGA SPRINGS	20
2010	SS‐00401‐10	THEFT OF SERVICES/TRANSPORTATION	WATERBURY ST	2010-05-17	ARPEI	OTHER	F	BALLSTON LAKE	25
2010	SS‐00398‐10	PETIT LARCENY	CAROLINE ST	2010-05-17	ARPEI	WHITE	M	SARATOGA SPRINGS	28
2010	SS‐00399‐10	UNLAWFUL POSSESSION OF MARIHUANA	WHITNEY PL	2010-05-17	FISCHER	BLACK/AFRICAN AMERICAN	M	AMSTERDAM	26
2010	SS‐00400‐10	UNLAWFUL POSSESSION OF MARIHUANA	WHITNEY PL	2010-05-17	FISCHER	WHITE	F	SO GLENS FALLS	24
2010	SS‐00393‐10	BAC MORE .08	PHILA ST	2010-05-16	CAREY	WHITE	M	ROCKVILLE	48
2010	SS‐00394‐10	LEAVING THE SCENE OF AN AUTO ACCIDENT (PROPERTY)		2010-05-16	LEFFLER	WHITE	F	CLIFTON PARK	29
2010	SS‐00394‐10	DRIVING WHILE INTOXICATED	SOUTH BROADWAY	2010-05-16	LEFFLER	WHITE	F	CLIFTON PARK	29
2010	SS‐00394‐10	BAC MORE .08	SOUTH BROADWAY	2010-05-16	LEFFLER	WHITE	F	CLIFTON PARK	29
2010	SS‐00394‐10	AGGRAVATED UNLICENSED OPERATION THIRD DEGREE	SOUTH BROADWAY	2010-05-16	LEFFLER	WHITE	F	CLIFTON PARK	29
2010	SS‐00393‐10	FAILED TO SIGNAL A TURN	PHILA STAT PUTNAM ST	2010-05-16	CAREY	WHITE	M	ROCKVILLE	48
2010	SS‐00393‐10	DRIVING WHILE INTOXICATED‐ 2ND OFFENSE	PHILA ST	2010-05-16	CAREY	WHITE	M	ROCKVILLE	48
2010	SS‐00393‐10	AGGRAVATED DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-16	CAREY	WHITE	M	ROCKVILLE	48
2010	SS‐00396‐10	UNLAWFUL POSSESSION OF MARIHUANA	PARK PL	2010-05-16	MULLAN	BLACK/AFRICAN AMERICAN	M	BALLSTON SPA	19
2010	SS‐00396‐10	ROBBERY IN THE SECOND DEGREE/CAUSE PHYSICAL INJURY	PUTNAM ST	2010-05-16	MULLAN	BLACK/AFRICAN AMERICAN	M	BALLSTON SPA	19
2010	SS‐00395‐10	ROBBERY IN THE SECOND DEGREE/CAUSE PHYSICAL INJURY	PUTNAM ST	2010-05-16	MULLAN	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	24
2010	SS‐00397‐10	CRIMINAL SALE OF MARIHUANA IN THE FOURTH DEGREE	BROOKLINE RD.	2010-05-16	AHIGIAN	WHITE	M	BALLSTON SPA	24
2010	SS‐00392‐10	BAC MORE .08	NELSON AVE	2010-05-15	RIGANO	WHITE	M	SARATOGA SPRINGS	32
2010	SS‐00389‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	BROADWAY	2010-05-15	EVERTSEN	WHITE	F	SARATOGA SPRINGS	26
2010	SS‐00388‐10	FAIL TO KEEP RIGHT	EXCELSIOR AVE	2010-05-15	CALLAHAN	WHITE	F	SARATOGA SPRINGS	31
2010	SS‐00388‐10	DRIVING WHILE INTOXICATED	EXCELSIOR AVE	2010-05-15	CALLAHAN	WHITE	F	SARATOGA SPRINGS	31
2010	SS‐00388‐10	BAC MORE .08	EXCELSIOR AVE	2010-05-15	CALLAHAN	WHITE	F	SARATOGA SPRINGS	31
2010	SS‐00387‐10	FAIL TO OBEY TRAFFIC CONTROL DEVICE	SPRING ST	2010-05-15	ARPEI	WHITE	M	MALTA	27
2010	SS‐00387‐10	FAIL TO KEEP RIGHT	DIVISION ST	2010-05-15	ARPEI	WHITE	M	MALTA	27
2010	SS‐00387‐10	DRIVING WHILE INTOXICATED	CLINTON ST	2010-05-15	ARPEI	WHITE	M	MALTA	27
2010	SS‐00387‐10	BAC MORE .08	CLINTON ST	2010-05-15	ARPEI	WHITE	M	MALTA	27
2010	SS‐00387‐10	AGGRAVATED DRIVING WHILE INTOXICATED	CLINTON ST	2010-05-15	ARPEI	WHITE	M	MALTA	27
2010	SS‐00386‐10	FAIL TO KEEP RIGHT	MAPLE AVE	2010-05-15	CAREY	WHITE	M	QUEENSBURY	32
2010	SS‐00386‐10	DRIVING WHILE INTOXICATED	MAPLE AVE	2010-05-15	CAREY	WHITE	M	QUEENSBURY	32
2010	SS‐00386‐10	BAC MORE .08	MAPLE AVE	2010-05-15	CAREY	WHITE	M	QUEENSBURY	32
2010	SS‐00386‐10	AGGRAVATED DRIVING WHILE INTOXICATED	MAPLE AVE	2010-05-15	CAREY	WHITE	M	QUEENSBURY	32
2010	SS‐00392‐10	FAIL TO KEEP RIGHT	NELSON AVE	2010-05-15	RIGANO	WHITE	M	SARATOGA SPRINGS	32
2010	SS‐00390‐10	POSSESS ALCOHOL UNDER 21 YOA	BROADWAY	2010-05-15	KELLY	UNKNOWN	M	AMSTERDAM	19
2010	SS‐00392‐10	DRIVING WHILE INTOXICATED	NELSON AVE	2010-05-15	RIGANO	WHITE	M	SARATOGA SPRINGS	32
2010	SS‐00385‐10	POSSESS ALCOHOL UNDER 21 YOA	CAROLINE ST	2010-05-14	LEWIS	WHITE	F	SOUTH ORANGE	20
2010	SS‐00381‐10	SAFETY BELTS		2010-05-11	LEFFLER	WHITE	M	CHATANOOGA	35
2010	SS‐00381‐10	FAILED TO STOP AT STOP SIGN	CAROLINE ST	2010-05-11	LEFFLER	WHITE	M	CHATANOOGA	35
2010	SS‐00382‐10	ASSAULT IN THE SECOND DEGREE/DEADLY WEAPON	OAK ST	2010-05-11	MULLAN	WHITE	F	SARATOGA SPRINGS	17
2010	SS‐00382‐10	CRIMINAL POSSESSION OF A WEAPON FOURTH DEGREE	OAK ST	2010-05-11	MULLAN	WHITE	F	SARATOGA SPRINGS	17
2010	SS‐00383‐10	DISORDERLY CONDUCT	WEST AVE	2010-05-11	RIGANO	WHITE	F	SARATOGA SPRINGS	43
2010	SS‐00384‐10	CRIMINAL CONTEMPT SECOND DEGREE/DISOBEDIENCE	WEST AVE	2010-05-11	RIGANO	WHITE	M	SARATOGA SPRINGS	20
2010	SS‐00384‐10	CRIMINAL MISCHIEF FOURTH DEGREE/INTEN DAMAGES PROP		2010-05-11	RIGANO	WHITE	M	SARATOGA SPRINGS	20
2010	SS‐00381‐10	DRIVING WHILE INTOXICATED	CAROLINE ST	2010-05-11	LEFFLER	WHITE	M	CHATANOOGA	35
2010	SS‐00380‐10	CRIMINAL CONTEMPT SECOND DEGREE/DISOBEDIENCE	FRANKLIN STREET APT3B	2010-05-10	AHIGIAN	WHITE	F	SCHENECTADY	20
2010	SS‐00379‐10	UNLAWFUL POSSESSION OF MARIHUANA	FRANKLIN ST	2010-05-10	MULLAN	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	22
2010	SS‐00375‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	CAROLINE ST	2010-05-09	CADORET	WHITE	M	SARATOGA SPRINGS	28
2010	SS‐00376‐10	DRIVING WHILE INTOXICATED‐ 2ND OFFENSE	PHILA ST	2010-05-09	CAREY	WHITE	F	WEST SAND LAKE	36
2010	SS‐00376‐10	ONE WAY STREET	PHILA ST	2010-05-09	CAREY	WHITE	F	WEST SAND LAKE	36
2010	SS‐00376‐10	UNLAWFUL USE OF MOBILE PHONES IN MOTOR VEHICLE	PHILA ST	2010-05-09	CAREY	WHITE	F	WEST SAND LAKE	36
2010	SS‐00378‐10	BAC MORE .08	FERNDELL SPRING DR	2010-05-09	ARPEI	WHITE	M	GANESVOORT	28
2010	SS‐00378‐10	AGGRAVATED DRIVING WHILE INTOXICATED	FERNDELL SPRING DR	2010-05-09	ARPEI	WHITE	M	GANESVOORT	28
2010	SS‐00378‐10	FAIL TO KEEP RIGHT	DEERLEAP PL	2010-05-09	ARPEI	WHITE	M	GANESVOORT	28
2010	SS‐00378‐10	DRIVING WHILE INTOXICATED	FERNDELL SPRING DR	2010-05-09	ARPEI	WHITE	M	GANESVOORT	28
2010	SS‐00377‐10	AGGRAVATED HARASSMENT IN THE SECOND DEGREE	LINCOLN AVE	2010-05-09	AHIGIAN	WHITE	M	GANSEVOORT	22
2010	SS‐00374‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	CAROLINE ST	2010-05-09	CADORET	WHITE	M	BALLSTON SPA	44
2010	SS‐00373‐10	ASSAULT 2ND //INTENT PHYSICAL INJ AS HATE CRIME	CAROLINE ST	2010-05-08	CADORET	WHITE	M	BALLSTON SPA	24
2010	SS‐00369‐10	CRIMINAL TRESPASS THIRD DEGREE/BUILDING OR PROP.	NELSON AVE	2010-05-08	RIGANO	WHITE	M	BROADALBIN	24
2010	SS‐00371‐10	DISORDERLY CONDUCT	CAROLINE ST	2010-05-08	BRAIM	WHITE	M	BALLSTON SPA	39
2010	SS‐00371‐10	RESISTING ARREST	CAROLINE ST	2010-05-08	BRAIM	WHITE	M	BALLSTON SPA	39
2010	SS‐00372‐10	AGGRAVATED DRIVING WHILE INTOXICATED	BALLSTON AVE	2010-05-08	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00372‐10	BAC MORE .08	BALLSTON AVE	2010-05-08	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00372‐10	DRIVING WHILE INTOXICATED	BALLSTON AVE	2010-05-08	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00372‐10	FAIL TO KEEP RIGHT	BALLSTON AVE	2010-05-08	CAREY	WHITE	F	BALLSTON SPA	21
2010	SS‐00366‐10	ISSUING A BAD CHECK/UTTERS CHECK KNOWING NO FUNDS	WASHINGTON ST	2010-05-07		BLACK/AFRICAN AMERICAN	F	SATATOGA SPRINGS	23
2010	SS‐00367‐10	ASSAULT IN THE THIRD DEGREE//INTENT PHYSICAL INJ	VANDERBILT TER	2010-05-07	RIGANO	WHITE	M	SARATOGA SPRINGS	27
2010	SS‐00368‐10	POSSESS ALCOHOL UNDER 21 YOA	WOODLAWN AVE	2010-05-07	BENGTSON	WHITE	M	WALPOLE	18
2010	SS‐00365‐10	CRIMINAL MISCHIEF IN THE THIRD DEGREE	JACKSON ST	2010-05-07	NOEKER	WHITE	F	SARATOGA SPRINGS	20
2010	SS‐00363‐10	HARASSMENT SECOND DEGREE ‐ PHYSICAL CONTACT	WEST CIRCULAR ST	2010-05-06		WHITE	F	SARATOGA SPRINGS	27
2010	SS‐00362‐10	BAC MORE .08	PUTNAM ST	2010-05-06	VANWERT	WHITE	F	BALLSTON SPA	26
2010	SS‐00362‐10	AGGRAVATED DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-06	VANWERT	WHITE	F	BALLSTON SPA	26
2010	SS‐00362‐10	FAILED TO STOP AT STOP SIGN	PUTNAM ST	2010-05-06	VANWERT	WHITE	F	BALLSTON SPA	26
2010	SS‐00362‐10	FAIL TO KEEP RIGHT	PUTNAM ST	2010-05-06	VANWERT	WHITE	F	BALLSTON SPA	26
2010	SS‐00362‐10	DRIVING WHILE INTOXICATED	PUTNAM ST	2010-05-06	VANWERT	WHITE	F	BALLSTON SPA	26
2010	SS‐00364‐10	ENDANGERING THE WELFARE OF A CHILD	CLINTON ST	2010-05-06	ARPEI	BLACK/AFRICAN AMERICAN	M	ALBANY	42
2010	SS‐00360‐10	HARASSMENT SECOND DEGREE ‐ PHYSICAL CONTACT	WEST AVE,SUITE 330	2010-05-05	CAREY	WHITE	M	CLIFTON PARK	55
2010	XX‐00094‐10	SALE OF ALCOHOL BEVERAGES TO PERSONS UNDER 21 YOA	BALLSTON AVE	2010-05-05		WHITE	F	WILTON	25
2010	SS‐00361‐10	HARASSMENT SECOND DEGREE ‐ PHYSICAL CONTACT	WEST CIRCULAR ST	2010-05-05		OTHER	M	SARATOGA SPRINGS	41
2010	XX‐00093‐10	SALE OF ALCOHOL BEVERAGES TO PERSONS UNDER 21 YOA	PARK PL	2010-05-05		WHITE	F	TROY	24
2010	XX‐00090‐10	AGGRAVATED HARASSMENT IN THE SECOND DEGREE	BROADWAY	2010-05-05		WHITE	M	S GLENS FALLS	21
2010	SS‐00358‐10	CRIMINAL MISCHIEF IN THE THIRD DEGREE	CHURCH ST	2010-05-04	NOEKER	WHITE	M	SARATOGA SPRINGS	23
2010	SS‐00359‐10	CRIMINAL POSSESSION OF A FORGED INSTRUMENT SECOND	CHURCH STREET	2010-05-04	JOHNSON	WHITE	F	FORT EDWARD	43
2010	SS‐00359‐10	GRAND LARCENY FOURTH DEGREE/CREDIT CARD		2010-05-04	JOHNSON	WHITE	F	FORT EDWARD	43
2010	SS‐00359‐10	SCHEME TO DEFRAUD FIRST DEGREE/ $1000 OR MORE	CHURCH STREET	2010-05-04	JOHNSON	WHITE	F	FORT EDWARD	43
2010	SS‐00357‐10	POSSESS ALCOHOL UNDER 21 YOA	CHURCH ST	2010-05-03	AHIGIAN	WHITE	M	NEW YORK	19
2010	SS‐00356‐10	CRIMINAL POSSESSION OF A WEAPON 4TH DEGREE	BROADWAY ROOM 101	2010-05-03	EVERTSEN	ASIAN	F	SARATOGA SPRINGS	37
2010	SS‐00355‐10	GRAND LARCENY FOURTH DEGREE/EXCEEDS $1,000.00	WEST AVE	2010-05-02	EVERTSEN	WHITE	F	SARATOGA SPRINGS	56
2010	SS‐00354‐10	BAC MORE .08	WASHINGTON ST	2010-05-02	CAREY	WHITE	M	BROADALBIN	24
2010	SS‐00354‐10	DRIVING WHILE INTOXICATED	WASHINGTON ST	2010-05-02	CAREY	WHITE	M	BROADALBIN	24
2010	SS‐00354‐10	FAIL TO KEEP RIGHT	WASHINGTON ST	2010-05-02	CAREY	WHITE	M	BROADALBIN	24
2010	SS‐00353‐10	VIOLATION OF CURFEW	CRESCENT ST	2010-05-02	VANWERT	WHITE	M	SARATOGA SPRINGS	17
2010	SS‐00349‐10	BURGLARY SECOND DEGREE/BUILDING IS A DWELLING	NORTH BROADWAY	2010-05-01	VEITCH	WHITE	M	SCHUYLERVILLE	25
2010	SS‐00346‐10	BAC MORE .08	BROADWAY	2010-05-01	CAREY	WHITE	F	SCOTIA	27
2010	SS‐00347‐10	BURGLARY SECOND DEGREE/BUILDING IS A DWELLING	NORTH BROADWAY	2010-05-01	VEITCH	WHITE	M	SARATOGA SPRINGS	21
2010	SS‐00352‐10	CRIMINAL POSSESSION STOLEN PROPERTY FOURTH DEGREE	N BROADWAY	2010-05-01	LEWIS	WHITE	M	SARATOGA SPRINGS	23
2010	SS‐00348‐10	BURGLARY SECOND DEGREE/BUILDING IS A DWELLING	NORTH BROADWAY	2010-05-01	VEITCH	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	27
2010	SS‐00351‐10	CRIMINAL TRESPASS IN THE SECOND DEGREE	MAPLE AVE	2010-05-01	CARTER	WHITE	M	BALLSTON SPA	27
2010	SS‐00350‐10	POSSESS ALCOHOL UNDER 21 YOA	RAILROAD PL	2010-05-01	AHIGIAN	WHITE	M	SARATOGA SPRINGS	18
2010	SS‐00349‐10	CRIMINAL POSSESSION STOLEN PROPERTY FIFTH DEGREE	BRYAN ST	2010-05-01	VEITCH	WHITE	M	SCHUYLERVILLE	25
2010	SS‐00346‐10	AGGRAVATED DRIVING WHILE INTOXICATED	BROADWAY	2010-05-01	CAREY	WHITE	F	SCOTIA	27
2010	SS‐00346‐10	OPERATING MOTOR VEHICLE SUSPENDED REGISTRATION	BROADWAY	2010-05-01	CAREY	WHITE	F	SCOTIA	27
2010	SS‐00346‐10	FAIL TO KEEP RIGHT	BROADWAY	2010-05-01	CAREY	WHITE	F	SCOTIA	27
2010	SS‐00346‐10	DRIVING WHILE INTOXICATED	BROADWAY	2010-05-01	CAREY	WHITE	F	SCOTIA	27
2010	SS‐00345‐10	DRIVING WHILE INTOXICATED	LOUDEN RD	2010-04-30	SICKO	OTHER	M	QUEENSBURY	27
2010	SS‐00345‐10	BAC MORE .08	LOUDEN RD	2010-04-30	SICKO	OTHER	M	QUEENSBURY	27
2010	SS‐00345‐10	AGGRAVATED DRIVING WHILE INTOXICATED	LOUDEN RD	2010-04-30	SICKO	OTHER	M	QUEENSBURY	27
2010	SS‐00345‐10	RIGHT OF WAY VIOLATION / LEFT TURN	LOUDEN RD	2010-04-30	SICKO	OTHER	M	QUEENSBURY	27
2010	XX‐00059‐10	ISSUING A BAD CHECK/UTTERS CHECK KNOWING NO FUNDS		2010-04-29		WHITE	M	CORINTH	37
2010	SS‐00342‐10	BURGLARY SECOND DEGREE/BUILDING IS A DWELLING	LAMPLIGHTER LN	2010-04-29	LEVANITES	WHITE	M	ADAMS	30
2010	SS‐00343‐10	DISORDERLY CONDUCT	ROUTE 9S	2010-04-29	AHIGIAN	WHITE	M	GANSEVOORT	47
2010	SS‐00344‐10	PETIT LARCENY	SEWARD ST	2010-04-29	AHIGIAN	WHITE	F	GREENWICH	56
2010	SS‐00341‐10	CRIMINAL TRESPASS IN THE SECOND DEGREE	NORTH BROADWAY	2010-04-28	BARRETT	WHITE	M	SARATOGA SPRINGS	47
2010	SS‐00337‐10	DRIVING WHILE INTOXICATED	EXCELSIOR AVE	2010-04-27	CALLAHAN	WHITE	M	SARATOGA SPRINGS	24
2010	SS‐00337‐10	BAC MORE .08	EXCELSIOR AVE	2010-04-27	CALLAHAN	WHITE	M	SARATOGA SPRINGS	24
2010	SS‐00338‐10	ASSAULT IN THE SECOND DEGREE/PREVENT POLICE	CHURCH ST	2010-04-27	CADORET	WHITE	M	BALLSTON LAKE	45
2010	SS‐00337‐10	FAILED TO SIGNAL A TURN	EXCELSIOR AVE	2010-04-27	CALLAHAN	WHITE	M	SARATOGA SPRINGS	24
2010	SS‐00337‐10	EQUIPMENT (TRUCKS/LIGHTING EQUIPMENT)	EXCELSIOR AVE	2010-04-27	CALLAHAN	WHITE	M	SARATOGA SPRINGS	24
2010	SS‐00339‐10	ASSAULT IN THE SECOND DEGREE//INTENT PHYSICAL INJ	BROADWAY	2010-04-27	BAKER	BLACK/AFRICAN AMERICAN	M	SARATOGA SPRINGS	21
2010	SS‐00340‐10	MENACING SECOND DEGREE	HENRY ST	2010-04-27	BARRETT	WHITE	M	SARATOGA SPGS	24
2010	SS‐00340‐10	CRIMINAL POSSESSION OF A WEAPON FOURTH DEGREE	HENRY ST	2010-04-27	BARRETT	WHITE	M	SARATOGA SPGS	24
2010	SS‐00336‐10	PETIT LARCENY	WEIBEL AVE	2010-04-26	FADEN	WHITE	F	BALLSTON SPA	16
2010	SS‐00335‐10	FAILED TO SIGNAL A TURN	JEFFERSON ST	2010-04-25	CAREY	WHITE	F	ALBANY	34
2010	XX‐00079‐10	AGGRAVATED HARASSMENT IN THE SECOND DEGREE	BALLSTON AVE	2010-04-25	EVERTSEN	UNKNOWN	F	COHOES	20
